Fecha,Producto,Categoría,Cantidad,Precio Unitario,Total Venta
2025-04-08,Mouse,Computación,6,50,300
2024-09-27,Mouse,Electrónica,3,50,150
2024-07-08,Teclado,Electrónica,4,100,400
2025-03-21,Tablet,Accesorios,1,500,500
2024-06-23,Laptop,Electrónica,8,1200,9600
2025-03-21,Smartphone,Accesorios,7,800,5600
2024-02-20,Mouse,Electrónica,7,50,350
2024-12-29,Teclado,Computación,3,100,300
2024-02-24,Monitor,Electrónica,3,300,900
2024-08-31,Teclado,Electrónica,2,100,200
2024-11-15,Smartphone,Accesorios,1,800,800
2024-05-10,Smartphone,Electrónica,7,800,5600
2025-04-29,Teclado,Electrónica,7,100,700
2024-11-02,Laptop,Accesorios,2,1200,2400
2024-05-14,Auriculares,Computación,7,150,1050
2024-01-21,Smartphone,Computación,8,800,6400
2024-11-24,Teclado,Accesorios,1,100,100
2024-06-15,Mouse,Accesorios,9,50,450
2024-09-30,Teclado,Accesorios,7,100,700
2025-01-22,Tablet,Accesorios,3,500,1500
2024-03-29,Auriculares,Accesorios,8,150,1200
2024-11-11,Monitor,Computación,7,300,2100
2024-01-14,Laptop,Computación,8,1200,9600
2024-08-29,Impresora,Accesorios,6,200,1200
2024-09-21,Monitor,Electrónica,9,300,2700
2024-12-11,Auriculares,Accesorios,5,150,750
2024-02-22,Auriculares,Electrónica,3,150,450
2025-01-20,Auriculares,Accesorios,3,150,450
2024-12-05,Monitor,Accesorios,1,300,300
2024-04-01,Mouse,Computación,8,50,400
2025-01-01,Auriculares,Electrónica,2,150,300
2025-03-19,Teclado,Electrónica,3,100,300
2025-03-30,Monitor,Computación,8,300,2400
2025-03-03,Impresora,Computación,8,200,1600
2024-09-20,Auriculares,Computación,4,150,600
2025-03-06,Teclado,Computación,4,100,400
2024-02-04,Mouse,Electrónica,5,50,250
2024-07-24,Tablet,Electrónica,6,500,3000
2024-03-21,Mouse,Accesorios,5,50,250
2025-02-23,Impresora,Accesorios,7,200,1400
2024-02-19,Auriculares,Computación,2,150,300
2024-12-25,Impresora,Computación,7,200,1400
2025-01-22,Monitor,Computación,7,300,2100
2024-01-02,Smartphone,Accesorios,1,800,800
2025-01-24,Auriculares,Accesorios,7,150,1050
2024-02-23,Smartphone,Accesorios,5,800,4000
2024-04-15,Teclado,Accesorios,3,100,300
2024-09-16,Tablet,Accesorios,3,500,1500
2024-11-05,Laptop,Accesorios,4,1200,4800
2025-04-21,Impresora,Accesorios,2,200,400
2024-07-09,Mouse,Computación,2,50,100
2025-02-05,Tablet,Computación,1,500,500
2024-08-05,Auriculares,Computación,5,150,750
2024-02-13,Smartphone,Computación,4,800,3200
2024-06-10,Mouse,Accesorios,2,50,100
2024-07-20,Smartphone,Electrónica,3,800,2400
2025-03-21,Monitor,Accesorios,7,300,2100
2025-04-28,Smartphone,Electrónica,7,800,5600
2024-09-26,Monitor,Computación,4,300,1200
2024-12-16,Teclado,Accesorios,5,100,500
2024-10-30,Mouse,Computación,5,50,250
2024-09-27,Mouse,Accesorios,6,50,300
2025-03-31,Laptop,Computación,9,1200,10800
2025-04-06,Auriculares,Electrónica,2,150,300
2024-08-02,Monitor,Electrónica,5,300,1500
2024-09-08,Laptop,Electrónica,3,1200,3600
2024-07-08,Smartphone,Accesorios,4,800,3200
2024-10-22,Smartphone,Electrónica,6,800,4800
2024-07-31,Laptop,Accesorios,8,1200,9600
2024-07-26,Mouse,Electrónica,1,50,50
2024-08-24,Smartphone,Electrónica,8,800,6400
2024-12-03,Impresora,Accesorios,7,200,1400
2025-01-01,Teclado,Accesorios,1,100,100
2024-02-22,Teclado,Electrónica,2,100,200
2024-10-06,Impresora,Accesorios,3,200,600
2025-02-13,Laptop,Electrónica,1,1200,1200
2024-08-04,Impresora,Accesorios,9,200,1800
2024-09-08,Monitor,Computación,8,300,2400
2024-07-06,Monitor,Computación,2,300,600
2025-01-14,Laptop,Computación,9,1200,10800
2025-05-07,Impresora,Computación,7,200,1400
2024-02-10,Monitor,Computación,9,300,2700
2024-06-05,Mouse,Electrónica,6,50,300
2024-01-15,Impresora,Computación,6,200,1200
2024-10-27,Mouse,Computación,4,50,200
2024-03-05,Monitor,Computación,2,300,600
2024-12-10,Teclado,Computación,7,100,700
2024-11-22,Monitor,Accesorios,5,300,1500
2024-01-09,Mouse,Electrónica,6,50,300
2024-12-09,Tablet,Computación,2,500,1000
2024-05-08,Auriculares,Computación,5,150,750
2025-05-06,Smartphone,Computación,4,800,3200
2024-05-15,Impresora,Electrónica,9,200,1800
2025-04-16,Tablet,Accesorios,6,500,3000
2024-03-03,Monitor,Electrónica,2,300,600
2024-05-18,Teclado,Accesorios,1,100,100
2025-05-13,Laptop,Computación,5,1200,6000
2024-03-21,Monitor,Computación,9,300,2700
2025-01-26,Teclado,Electrónica,6,100,600
2024-06-11,Auriculares,Electrónica,7,150,1050
2025-02-22,Monitor,Accesorios,5,300,1500
2024-10-15,Mouse,Accesorios,6,50,300
2025-01-13,Laptop,Electrónica,5,1200,6000
2024-09-17,Teclado,Accesorios,9,100,900
2025-05-04,Teclado,Electrónica,6,100,600
2024-08-18,Teclado,Accesorios,8,100,800
2024-02-10,Auriculares,Electrónica,2,150,300
2024-01-28,Monitor,Electrónica,9,300,2700
2024-05-14,Auriculares,Electrónica,5,150,750
2024-07-19,Impresora,Accesorios,7,200,1400
2024-11-23,Smartphone,Accesorios,1,800,800
2024-09-24,Smartphone,Accesorios,5,800,4000
2025-02-21,Impresora,Electrónica,2,200,400
2024-02-02,Monitor,Accesorios,6,300,1800
2024-02-17,Mouse,Accesorios,1,50,50
2025-02-10,Auriculares,Electrónica,3,150,450
2024-03-02,Laptop,Computación,5,1200,6000
2024-08-03,Teclado,Electrónica,4,100,400
2024-10-19,Teclado,Accesorios,3,100,300
2024-04-08,Monitor,Electrónica,5,300,1500
2024-06-20,Mouse,Computación,8,50,400
2024-12-25,Smartphone,Electrónica,4,800,3200
2024-08-01,Smartphone,Accesorios,1,800,800
2025-04-19,Teclado,Computación,7,100,700
2024-02-04,Monitor,Accesorios,8,300,2400
2025-03-24,Auriculares,Computación,3,150,450
2024-08-14,Smartphone,Computación,6,800,4800
2024-04-10,Auriculares,Electrónica,2,150,300
2025-03-06,Mouse,Electrónica,7,50,350
2025-04-06,Smartphone,Accesorios,8,800,6400
2024-05-10,Smartphone,Electrónica,6,800,4800
2024-09-13,Tablet,Electrónica,6,500,3000
2024-01-05,Smartphone,Computación,5,800,4000
2024-08-05,Impresora,Electrónica,8,200,1600
2024-09-11,Laptop,Computación,1,1200,1200
2025-02-01,Impresora,Computación,4,200,800
2024-12-24,Monitor,Computación,4,300,1200
2024-10-09,Monitor,Accesorios,3,300,900
2025-01-27,Auriculares,Accesorios,3,150,450
2024-07-25,Impresora,Accesorios,4,200,800
2024-01-15,Impresora,Computación,1,200,200
2024-12-11,Impresora,Accesorios,2,200,400
2024-02-11,Mouse,Accesorios,9,50,450
2025-01-14,Smartphone,Electrónica,2,800,1600
2025-04-05,Laptop,Accesorios,5,1200,6000
2024-06-27,Auriculares,Accesorios,9,150,1350
2024-03-03,Impresora,Computación,9,200,1800
2024-12-17,Impresora,Computación,8,200,1600
2024-08-18,Tablet,Computación,1,500,500
2024-08-28,Auriculares,Computación,1,150,150
2024-02-21,Impresora,Computación,9,200,1800
2024-04-05,Auriculares,Computación,8,150,1200
2025-01-22,Smartphone,Accesorios,9,800,7200
2024-08-09,Tablet,Computación,7,500,3500
2025-04-29,Auriculares,Computación,3,150,450
2025-02-10,Laptop,Electrónica,3,1200,3600
2024-08-18,Laptop,Accesorios,2,1200,2400
2024-08-24,Monitor,Accesorios,5,300,1500
2024-05-22,Tablet,Accesorios,3,500,1500
2024-06-19,Tablet,Computación,6,500,3000
2024-01-29,Monitor,Computación,2,300,600
2024-02-05,Auriculares,Computación,3,150,450
2024-01-13,Tablet,Electrónica,5,500,2500
2024-06-08,Laptop,Computación,1,1200,1200
2024-11-22,Laptop,Electrónica,1,1200,1200
2024-07-05,Impresora,Accesorios,9,200,1800
2024-08-30,Smartphone,Computación,7,800,5600
2024-03-26,Tablet,Electrónica,1,500,500
2024-10-10,Auriculares,Electrónica,8,150,1200
2024-03-06,Monitor,Computación,3,300,900
2024-06-18,Monitor,Accesorios,8,300,2400
2024-02-14,Auriculares,Accesorios,5,150,750
2024-03-02,Mouse,Accesorios,1,50,50
2025-03-16,Teclado,Electrónica,7,100,700
2024-05-13,Smartphone,Electrónica,5,800,4000
2024-10-10,Monitor,Electrónica,6,300,1800
2024-01-28,Tablet,Electrónica,6,500,3000
2024-04-17,Smartphone,Accesorios,8,800,6400
2024-02-13,Tablet,Computación,9,500,4500
2024-12-05,Mouse,Electrónica,2,50,100
2024-10-12,Laptop,Electrónica,9,1200,10800
2025-03-21,Smartphone,Accesorios,9,800,7200
2024-11-26,Impresora,Computación,7,200,1400
2024-05-07,Monitor,Computación,1,300,300
2024-12-13,Smartphone,Accesorios,7,800,5600
2025-04-17,Smartphone,Accesorios,5,800,4000
2024-08-18,Smartphone,Computación,6,800,4800
2024-07-08,Teclado,Electrónica,7,100,700
2024-08-12,Smartphone,Computación,5,800,4000
2025-01-19,Tablet,Accesorios,7,500,3500
2025-01-11,Laptop,Electrónica,9,1200,10800
2024-10-09,Mouse,Electrónica,3,50,150
2025-03-21,Auriculares,Accesorios,8,150,1200
2024-04-30,Smartphone,Accesorios,2,800,1600
2024-04-25,Monitor,Accesorios,7,300,2100
2025-04-05,Smartphone,Computación,2,800,1600
2024-08-20,Monitor,Computación,4,300,1200
2024-09-15,Tablet,Electrónica,7,500,3500
2024-12-24,Monitor,Accesorios,3,300,900
2024-07-16,Impresora,Electrónica,2,200,400
2025-03-31,Auriculares,Electrónica,7,150,1050
2025-02-14,Laptop,Electrónica,1,1200,1200
2024-05-16,Monitor,Electrónica,8,300,2400
2024-11-13,Monitor,Accesorios,3,300,900
2024-06-13,Laptop,Electrónica,2,1200,2400
2024-08-12,Auriculares,Accesorios,3,150,450
2024-11-02,Smartphone,Accesorios,5,800,4000
2024-08-21,Monitor,Computación,8,300,2400
2024-06-20,Laptop,Accesorios,7,1200,8400
2024-05-31,Impresora,Computación,7,200,1400
2025-04-07,Impresora,Accesorios,7,200,1400
2024-11-10,Tablet,Accesorios,8,500,4000
2025-01-08,Laptop,Accesorios,1,1200,1200
2024-06-08,Tablet,Computación,4,500,2000
2024-04-05,Impresora,Computación,6,200,1200
2025-04-16,Auriculares,Electrónica,9,150,1350
2024-08-20,Smartphone,Computación,2,800,1600
2024-06-28,Laptop,Computación,1,1200,1200
2024-04-22,Mouse,Computación,2,50,100
2024-11-13,Impresora,Computación,7,200,1400
2025-05-11,Impresora,Electrónica,3,200,600
2025-03-17,Mouse,Computación,2,50,100
2024-02-21,Teclado,Accesorios,7,100,700
2024-09-24,Impresora,Accesorios,2,200,400
2024-10-21,Monitor,Computación,3,300,900
2025-01-20,Auriculares,Computación,7,150,1050
2025-01-21,Laptop,Accesorios,4,1200,4800
2024-04-22,Mouse,Accesorios,1,50,50
2024-04-10,Monitor,Electrónica,5,300,1500
2024-04-22,Mouse,Accesorios,9,50,450
2025-03-15,Laptop,Accesorios,8,1200,9600
2024-03-21,Tablet,Computación,9,500,4500
2024-07-05,Laptop,Accesorios,9,1200,10800
2024-04-22,Teclado,Electrónica,7,100,700
2024-01-02,Laptop,Accesorios,4,1200,4800
2024-05-09,Laptop,Computación,5,1200,6000
2024-08-07,Teclado,Computación,1,100,100
2024-02-23,Auriculares,Accesorios,1,150,150
2024-12-08,Impresora,Computación,3,200,600
2025-04-29,Laptop,Electrónica,8,1200,9600
2024-08-11,Teclado,Electrónica,2,100,200
2024-08-12,Monitor,Accesorios,4,300,1200
2025-01-19,Tablet,Accesorios,2,500,1000
2025-02-06,Tablet,Accesorios,5,500,2500
2024-05-05,Laptop,Computación,9,1200,10800
2024-05-09,Auriculares,Electrónica,1,150,150
2024-02-22,Auriculares,Electrónica,5,150,750
2024-06-20,Monitor,Computación,9,300,2700
2024-08-05,Laptop,Electrónica,1,1200,1200
2024-06-08,Tablet,Accesorios,9,500,4500
2024-07-16,Auriculares,Accesorios,8,150,1200
2025-02-19,Laptop,Accesorios,4,1200,4800
2024-09-03,Mouse,Electrónica,5,50,250
2024-11-19,Auriculares,Accesorios,5,150,750
2025-03-14,Teclado,Computación,6,100,600
2024-07-21,Mouse,Computación,7,50,350
2024-07-02,Impresora,Electrónica,8,200,1600
2024-05-02,Auriculares,Computación,8,150,1200
2025-02-04,Tablet,Computación,2,500,1000
2024-09-11,Smartphone,Electrónica,9,800,7200
2024-10-20,Mouse,Accesorios,7,50,350
2024-10-06,Impresora,Accesorios,4,200,800
2024-11-20,Monitor,Accesorios,4,300,1200
2025-01-06,Monitor,Electrónica,8,300,2400
2024-04-07,Tablet,Computación,4,500,2000
2024-07-16,Auriculares,Accesorios,6,150,900
2025-04-14,Laptop,Accesorios,5,1200,6000
2025-01-29,Auriculares,Electrónica,3,150,450
2024-08-27,Tablet,Accesorios,2,500,1000
2024-05-23,Monitor,Electrónica,9,300,2700
2024-04-06,Auriculares,Computación,9,150,1350
2024-07-19,Monitor,Electrónica,1,300,300
2024-05-03,Mouse,Electrónica,3,50,150
2024-07-05,Impresora,Electrónica,8,200,1600
2024-11-21,Laptop,Electrónica,6,1200,7200
2025-04-08,Mouse,Computación,5,50,250
2024-12-14,Monitor,Computación,5,300,1500
2024-09-15,Monitor,Accesorios,6,300,1800
2024-05-27,Smartphone,Computación,7,800,5600
2024-09-08,Smartphone,Computación,1,800,800
2025-03-18,Mouse,Accesorios,9,50,450
2025-02-23,Teclado,Computación,3,100,300
2025-02-06,Mouse,Electrónica,4,50,200
2024-12-11,Smartphone,Electrónica,1,800,800
2025-03-26,Monitor,Accesorios,3,300,900
2024-05-26,Tablet,Accesorios,2,500,1000
2024-05-27,Mouse,Accesorios,2,50,100
2024-12-17,Monitor,Electrónica,1,300,300
2024-07-17,Tablet,Computación,8,500,4000
2024-11-03,Tablet,Electrónica,3,500,1500
2025-05-03,Smartphone,Accesorios,3,800,2400
2025-02-20,Mouse,Computación,6,50,300
2025-02-27,Auriculares,Computación,8,150,1200
2024-05-07,Laptop,Electrónica,9,1200,10800
2024-02-08,Smartphone,Accesorios,9,800,7200
2024-12-03,Smartphone,Electrónica,4,800,3200
2024-12-25,Auriculares,Computación,5,150,750
2024-05-08,Laptop,Electrónica,2,1200,2400
2024-09-23,Monitor,Electrónica,9,300,2700
2025-04-20,Teclado,Accesorios,8,100,800
2025-03-16,Mouse,Accesorios,3,50,150
2025-04-17,Teclado,Computación,9,100,900
2025-03-09,Monitor,Electrónica,3,300,900
2024-05-30,Impresora,Electrónica,9,200,1800
2025-02-18,Smartphone,Electrónica,2,800,1600
2025-04-22,Laptop,Computación,9,1200,10800
2024-10-24,Smartphone,Computación,8,800,6400
2024-04-08,Tablet,Accesorios,9,500,4500
2024-09-19,Smartphone,Accesorios,5,800,4000
2024-09-08,Smartphone,Accesorios,2,800,1600
2024-05-23,Monitor,Electrónica,8,300,2400
2024-12-11,Monitor,Electrónica,6,300,1800
2024-04-21,Monitor,Accesorios,8,300,2400
2025-05-14,Teclado,Electrónica,5,100,500
2024-02-29,Tablet,Accesorios,2,500,1000
2025-01-03,Impresora,Computación,6,200,1200
2024-01-02,Impresora,Accesorios,5,200,1000
2025-01-19,Monitor,Computación,5,300,1500
2024-10-30,Laptop,Electrónica,1,1200,1200
2024-09-10,Teclado,Accesorios,2,100,200
2024-05-19,Auriculares,Electrónica,8,150,1200
2025-03-28,Laptop,Computación,3,1200,3600
2024-02-06,Mouse,Computación,3,50,150
2024-06-08,Mouse,Computación,8,50,400
2024-01-09,Laptop,Electrónica,8,1200,9600
2024-08-20,Monitor,Electrónica,2,300,600
2024-04-08,Auriculares,Electrónica,8,150,1200
2024-05-26,Auriculares,Electrónica,1,150,150
2024-10-30,Teclado,Computación,6,100,600
2024-07-26,Auriculares,Computación,8,150,1200
2024-05-10,Mouse,Accesorios,3,50,150
2025-02-07,Tablet,Accesorios,8,500,4000
2024-05-31,Monitor,Electrónica,1,300,300
2024-02-23,Auriculares,Computación,9,150,1350
2024-04-29,Teclado,Computación,9,100,900
2024-06-09,Mouse,Computación,5,50,250
2025-02-11,Tablet,Accesorios,4,500,2000
2024-04-25,Smartphone,Accesorios,6,800,4800
2024-03-15,Smartphone,Computación,7,800,5600
2024-04-22,Tablet,Computación,5,500,2500
2025-03-31,Mouse,Computación,9,50,450
2025-02-23,Teclado,Accesorios,3,100,300
2025-02-25,Tablet,Computación,7,500,3500
2024-04-13,Monitor,Computación,5,300,1500
2024-12-05,Monitor,Electrónica,7,300,2100
2024-09-10,Smartphone,Electrónica,2,800,1600
2024-08-14,Auriculares,Accesorios,4,150,600
2024-04-21,Teclado,Computación,2,100,200
2025-04-17,Smartphone,Computación,7,800,5600
2024-04-08,Auriculares,Electrónica,2,150,300
2024-06-01,Auriculares,Accesorios,1,150,150
2024-12-14,Impresora,Electrónica,9,200,1800
2025-02-05,Monitor,Electrónica,1,300,300
2025-01-18,Mouse,Electrónica,8,50,400
2024-12-31,Laptop,Electrónica,2,1200,2400
2024-12-03,Mouse,Computación,8,50,400
2024-07-12,Laptop,Computación,3,1200,3600
2024-11-05,Tablet,Electrónica,6,500,3000
2024-06-11,Monitor,Accesorios,3,300,900
2024-07-26,Auriculares,Accesorios,7,150,1050
2025-03-20,Teclado,Accesorios,9,100,900
2024-06-17,Laptop,Accesorios,2,1200,2400
2025-04-28,Mouse,Electrónica,5,50,250
2024-06-09,Auriculares,Computación,6,150,900
2024-03-08,Laptop,Accesorios,4,1200,4800
2024-10-15,Laptop,Electrónica,4,1200,4800
2025-02-01,Impresora,Accesorios,4,200,800
2024-10-03,Laptop,Accesorios,2,1200,2400
2024-10-30,Teclado,Electrónica,4,100,400
2025-02-07,Monitor,Computación,1,300,300
2025-01-18,Teclado,Computación,6,100,600
2025-01-26,Smartphone,Electrónica,1,800,800
2024-05-14,Auriculares,Computación,6,150,900
2024-07-13,Monitor,Electrónica,1,300,300
2025-02-04,Impresora,Electrónica,6,200,1200
2024-05-07,Monitor,Electrónica,8,300,2400
2024-02-02,Monitor,Computación,2,300,600
2024-06-24,Mouse,Electrónica,2,50,100
2025-04-04,Monitor,Accesorios,4,300,1200
2025-03-18,Impresora,Computación,3,200,600
2025-01-05,Teclado,Computación,4,100,400
2025-04-14,Monitor,Computación,7,300,2100
2025-01-09,Tablet,Computación,1,500,500
2024-01-22,Auriculares,Accesorios,6,150,900
2024-08-25,Monitor,Computación,3,300,900
2024-06-06,Auriculares,Computación,7,150,1050
2024-02-07,Tablet,Electrónica,2,500,1000
2024-08-17,Tablet,Computación,2,500,1000
2024-12-30,Auriculares,Accesorios,4,150,600
2024-02-20,Laptop,Accesorios,1,1200,1200
2025-03-13,Smartphone,Accesorios,3,800,2400
2024-09-20,Mouse,Accesorios,9,50,450
2024-10-09,Laptop,Computación,7,1200,8400
2024-01-27,Laptop,Computación,7,1200,8400
2024-08-13,Teclado,Accesorios,4,100,400
2024-10-03,Mouse,Accesorios,2,50,100
2024-10-12,Mouse,Computación,4,50,200
2024-04-06,Laptop,Accesorios,6,1200,7200
2024-10-10,Monitor,Electrónica,3,300,900
2025-01-01,Teclado,Accesorios,1,100,100
2025-03-23,Teclado,Accesorios,8,100,800
2025-04-25,Tablet,Electrónica,5,500,2500
2025-03-28,Impresora,Electrónica,5,200,1000
2024-11-12,Mouse,Computación,4,50,200
2024-10-30,Laptop,Computación,6,1200,7200
2024-05-26,Tablet,Electrónica,3,500,1500
2024-01-04,Auriculares,Electrónica,9,150,1350
2024-02-04,Smartphone,Computación,5,800,4000
2024-07-10,Impresora,Accesorios,3,200,600
2024-02-18,Impresora,Electrónica,1,200,200
2024-01-17,Impresora,Computación,6,200,1200
2024-06-20,Teclado,Accesorios,2,100,200
2024-08-07,Auriculares,Electrónica,3,150,450
2024-06-06,Impresora,Accesorios,1,200,200
2025-04-21,Auriculares,Computación,9,150,1350
2024-02-15,Monitor,Electrónica,8,300,2400
2025-01-07,Impresora,Accesorios,2,200,400
2024-01-06,Smartphone,Electrónica,8,800,6400
2024-04-08,Auriculares,Accesorios,9,150,1350
2025-01-14,Auriculares,Computación,1,150,150
2024-08-20,Smartphone,Computación,5,800,4000
2024-02-06,Impresora,Electrónica,8,200,1600
2024-10-06,Smartphone,Accesorios,2,800,1600
2024-12-14,Auriculares,Electrónica,4,150,600
2025-05-11,Smartphone,Electrónica,7,800,5600
2024-10-28,Auriculares,Accesorios,3,150,450
2024-06-29,Auriculares,Accesorios,5,150,750
2024-04-04,Monitor,Accesorios,8,300,2400
2024-04-08,Laptop,Computación,3,1200,3600
2024-07-06,Auriculares,Electrónica,4,150,600
2025-04-25,Impresora,Electrónica,9,200,1800
2024-04-25,Tablet,Computación,7,500,3500
2024-07-09,Teclado,Accesorios,1,100,100
2024-09-09,Mouse,Computación,4,50,200
2025-04-13,Laptop,Computación,4,1200,4800
2025-02-19,Laptop,Computación,9,1200,10800
2025-04-15,Laptop,Electrónica,6,1200,7200
2024-06-09,Monitor,Computación,9,300,2700
2024-09-12,Auriculares,Electrónica,6,150,900
2024-11-18,Monitor,Electrónica,6,300,1800
2024-05-07,Auriculares,Electrónica,5,150,750
2024-01-18,Impresora,Accesorios,5,200,1000
2024-10-07,Monitor,Electrónica,2,300,600
2025-05-04,Monitor,Electrónica,8,300,2400
2024-08-10,Teclado,Accesorios,8,100,800
2024-02-23,Tablet,Electrónica,1,500,500
2024-02-27,Monitor,Computación,8,300,2400
2024-11-18,Teclado,Computación,5,100,500
2024-12-25,Smartphone,Electrónica,2,800,1600
2024-06-22,Tablet,Accesorios,2,500,1000
2024-10-06,Impresora,Computación,6,200,1200
2024-04-23,Monitor,Accesorios,9,300,2700
2024-10-14,Mouse,Accesorios,1,50,50
2025-03-06,Laptop,Computación,6,1200,7200
2024-12-07,Smartphone,Accesorios,9,800,7200
2024-05-30,Smartphone,Computación,8,800,6400
